age,income,employment_status,credit_score,deposit_amount,property_value,loan_amount,loan_to_value_ratio,first_home_buyer,loan_approved,PD,loan_prediction,EAD,LGD,ECL
30,88008.0,Full-time,653.0,38770.0,558539,519769,0.93,True,0,0.0029967224703473638,0,467792.10000000003,0.6,841.1058585125886
33,92299.0,Part-time,697.0,63278.0,706022,642744,0.91,True,0,0.11727361610318797,0,578469.6,0.6,40703.53307865882
31,133068.0,Part-time,643.0,75142.0,666169,591027,0.89,True,0,0.1738611790470591,0,531924.3,0.6,55488.59157706895
24,83847.0,Full-time,717.0,47325.0,612637,565312,0.92,True,0,0.06082440709083632,0,508780.8,0.6,18567.774299520825
38,89021.0,Full-time,714.0,37514.0,498246,460732,0.92,True,0,0.04233300668149295,0,414658.8,0.6,10532.25225056391
36,106013.0,Part-time,772.0,58622.0,616911,558289,0.9,True,0,0.7406209725055615,1,502460.10000000003,0.6,223279.492744345
36,107110.0,Part-time,671.0,58688.0,685012,626324,0.91,True,0,0.05111782150925226,0,563691.6,0.6,17288.81195703889
40,97774.0,Part-time,684.0,74243.0,708089,633846,0.9,True,0,0.2230206137742491,0,570461.4,0.6,76334.79093751045
23,62139.0,Full-time,744.0,59108.0,703419,644311,0.92,True,0,0.16749024244365723,0,579879.9,0.6,58274.53502352222
35,117668.0,Part-time,644.0,87832.0,733098,645266,0.88,True,0,0.40764581070620337,1,580739.4,0.6,142041.59011322047
45,62073.0,Full-time,717.0,63363.0,624419,561056,0.9,True,0,0.33427110308203795,1,504950.4,0.6,101274.19632582979
28,69914.0,Full-time,676.0,35826.0,713134,677308,0.95,True,0,0.0010333677332792243,0,609577.2000000001,0.6,377.95044565361786
32,83717.0,Full-time,684.0,56060.0,635791,579731,0.91,True,0,0.06393702948248096,0,521757.9,0.6,20015.790141010413
22,91427.0,Full-time,674.0,74404.0,564116,489712,0.87,True,1,0.7027986236332375,1,440740.8,0.6,185851.2165714072
32,93438.0,Full-time,690.0,66937.0,619084,552147,0.89,True,1,0.3794812216800452,1,496932.3,0.6,113145.88577776482
25,117274.0,Full-time,758.0,42309.0,496755,454446,0.91,True,0,0.3381234526035469,1,409001.4,0.6,82975.7792926106
34,94070.0,Contract,729.0,62583.0,588539,525956,0.89,True,1,0.6446431437482523,1,473360.4,0.6,183089.12182915813
26,80116.0,Full-time,723.0,70072.0,687723,617651,0.9,True,0,0.444368679041434,1,555885.9,0.6,148210.96984845522
41,104281.0,Full-time,657.0,82920.0,424699,341779,0.8,True,1,0.9982351555439688,1,307601.10000000003,0.6,184234.93914239755
27,108789.0,Full-time,635.0,73312.0,722758,649446,0.9,True,0,0.05893086875604269,0,584501.4,0.6,20667.105174673925
30,60447.0,Full-time,727.0,71412.0,689789,618377,0.9,True,0,0.4676145011455872,1,556539.3,0.6,156147.5082824486
36,96948.0,Full-time,723.0,60901.0,563218,502317,0.89,True,1,0.5904307941919807,1,452085.3,0.6,160155.04963291192
24,99023.0,Full-time,753.0,65824.0,643471,577647,0.9,True,0,0.6578321673951835,1,519882.3,0.6,205197.1801196358
33,79048.0,Full-time,649.0,78742.0,600251,521509,0.87,True,0,0.5417429158991539,1,469358.10000000003,0.6,152562.855416932
39,112514.0,Full-time,668.0,40008.0,698399,658391,0.94,True,0,0.0024221593531889856,0,592551.9,0.6,861.1530761009427
22,81998.0,Full-time,598.0,54758.0,678614,623856,0.92,True,0,0.0019504142943289932,0,561470.4,0.6,657.0599364015704
33,87511.0,Full-time,660.0,48411.0,487994,439583,0.9,True,0,0.054824245196293434,0,395624.7,0.6,13013.895335106017
33,81538.0,Full-time,729.0,65687.0,646980,581293,0.9,True,0,0.4582007692537068,1,523163.7,0.6,143828.4058713693
36,85311.0,Full-time,656.0,78453.0,583549,505096,0.87,True,1,0.5989115680990921,1,454586.4,0.6,163354.23219631266
24,63074.0,Self-employed,712.0,51045.0,606626,555581,0.92,True,0,0.05443833918795653,0,500022.9,0.6,16332.2497391674
24,56198.0,Full-time,670.0,24145.0,541746,517601,0.96,True,0,0.00025032624089966034,0,465840.9,0.6,69.96732081258875
35,116890.0,Part-time,696.0,53816.0,739850,686034,0.93,True,0,0.020205366420266147,0,617430.6,0.6,7485.246907250867
33,68060.0,Full-time,622.0,73702.0,683204,609502,0.89,True,0,0.07556275959544027,0,548551.8,0.6,24870.052673427625
33,65172.0,Part-time,684.0,68064.0,540818,472754,0.87,True,1,0.7062231562314589,1,425478.60000000003,0.6,180289.70388056547
34,41932.0,Part-time,530.0,66422.0,493231,426809,0.87,True,0,0.01656238022932156,0,384128.10000000003,0.6,3817.245389380113
33,58538.0,Self-employed,598.0,40814.0,634760,593946,0.94,True,0,0.00022723195728826888,0,534551.4,0.6,72.8802965359106
33,117840.0,Full-time,740.0,67729.0,619216,551487,0.89,True,1,0.766755945721802,1,496338.3,0.6,228342.20556867085
27,105196.0,Full-time,718.0,47485.0,700250,652765,0.93,True,0,0.031236190687861615,0,587488.5,0.6,11010.541687755473
43,71236.0,Part-time,703.0,92761.0,663193,570432,0.86,True,1,0.9561409040007632,1,513388.8,0.6,294523.2188015202
34,130048.0,Contract,756.0,68557.0,677565,609008,0.9,True,0,0.7209458539242327,1,548107.2000000001,0.6,237093.36800761215
24,104635.0,Full-time,632.0,51290.0,626148,574858,0.92,True,0,0.0055025623857358945,0,517372.2,0.6,1708.123684287257
35,78503.0,Full-time,767.0,50829.0,488856,438027,0.9,True,0,0.6331370818125756,1,394224.3,0.6,149758.81372896317
26,35011.0,Full-time,726.0,58605.0,584344,525739,0.9,True,0,0.34135550413863874,1,473165.10000000003,0.6,96910.50675078564
36,130818.0,Full-time,668.0,56407.0,684807,628400,0.92,True,0,0.021636653681978268,0,565560.0,0.6,7342.095513827778
38,57208.0,Part-time,736.0,76752.0,595878,519126,0.87,True,1,0.9397967693832179,1,467213.4,0.6,263451.3863595295
37,105451.0,Full-time,638.0,49025.0,574500,525475,0.91,True,0,0.013878068025743045,0,472927.5,0.6,3937.992009746756
34,133795.0,Full-time,649.0,88356.0,517615,429259,0.83,True,0,0.9806840596442498,1,386333.10000000003,0.6,227322.42772976877
36,112685.0,Full-time,653.0,60739.0,590132,529393,0.9,True,0,0.0700307294130594,0,476453.7,0.6,20019.84008553059
43,96278.0,Full-time,627.0,71532.0,624723,553191,0.89,True,0,0.09028610993958068,0,497871.9,0.6,26970.55025953675
30,96895.0,Part-time,741.0,50876.0,547544,496668,0.91,True,0,0.2666140527806749,0,447001.2,0.6,71506.08091789501
27,102068.0,Self-employed,667.0,65446.0,581143,515697,0.89,True,1,0.2267983641520792,0,464127.3,0.6,63157.987438992786
26,100178.0,Contract,697.0,64666.0,524842,460176,0.88,True,1,0.6213005069221312,1,414158.4,0.6,154390.09431963527
27,90623.0,Full-time,651.0,31655.0,689539,657884,0.95,True,0,0.00044809374605057163,0,592095.6,0.6,159.18860125443646
31,87084.0,Contract,588.0,90229.0,576443,486214,0.84,True,0,0.7479200755822479,1,437592.60000000003,0.6,196370.57427973943
34,83748.0,Part-time,693.0,79359.0,716220,636861,0.89,True,1,0.4887711201224547,1,573174.9,0.6,168090.8027394456
36,79386.0,Full-time,676.0,43465.0,593516,550051,0.93,True,0,0.0068807821784349155,0,495045.9,0.6,2043.7818037363638
40,83033.0,Full-time,779.0,61300.0,433128,371828,0.86,True,1,0.989234822987628,1,334645.2,0.6,198625.6111113956
30,65228.0,Full-time,725.0,65335.0,482237,416902,0.86,True,1,0.9473183124172994,1,375211.8,0.6,213267.00550503432
48,62928.0,Full-time,685.0,62873.0,490093,427220,0.87,True,1,0.6764364273971202,1,384498.0,0.6,156053.07207680275
35,88597.0,Full-time,743.0,67593.0,710277,642684,0.9,True,0,0.5882963885691559,1,578415.6,0.6,204167.88514323684
25,103366.0,Part-time,707.0,68521.0,631168,562647,0.89,True,1,0.5317947236401581,1,506382.3,0.6,161574.8611708606
34,53589.0,Full-time,689.0,44255.0,422366,378111,0.9,True,0,0.10010844354269123,0,340299.9,0.6,20440.135996040084
30,65207.0,Full-time,693.0,80438.0,504162,423724,0.84,True,1,0.9817887096881199,1,381351.60000000003,0.6,224644.01718090006
36,103815.0,Self-employed,743.0,84609.0,670966,586357,0.87,True,1,0.967309984971597,1,527721.3,0.6,306282.049663315
31,80507.0,Part-time,694.0,43147.0,588223,545076,0.93,True,0,0.011959562292695031,0,490568.4,0.6,3520.19000317664
29,87107.0,Self-employed,673.0,68297.0,582316,514019,0.88,True,1,0.45223546443219464,1,462617.10000000003,0.6,125527.11544366502
37,58319.0,Full-time,684.0,51776.0,605549,553773,0.91,True,0,0.051519756939562955,0,498395.7,0.6,15406.335194234001
33,72972.0,Full-time,623.0,88851.0,615407,526556,0.86,True,0,0.6131609683610749,1,473900.4,0.6,174346.33690242047
24,91395.0,Full-time,800.0,48380.0,791368,742988,0.94,True,0,0.153997163398115,0,668689.2000000001,0.6,61785.74399697289
33,53140.0,Full-time,755.0,34662.0,432051,397389,0.92,True,0,0.1132070144107391,0,357650.10000000003,0.6,24293.100014821368
26,84607.0,Part-time,683.0,30367.0,590815,560448,0.95,True,0,0.0011455084035200261,0,504403.2,0.6,346.67886261743547
32,96049.0,Part-time,669.0,71266.0,645341,574075,0.89,True,1,0.26814756175207627,0,516667.5,0.6,83125.87821692451
32,89478.0,Full-time,632.0,29023.0,547410,518387,0.95,True,0,0.00022666860434972602,0,466548.3,0.6,63.45111121364236
25,112282.0,Full-time,683.0,60426.0,596082,535656,0.9,True,0,0.1600262451198454,0,482090.4,0.6,46288.269912194584
35,76411.0,Part-time,617.0,55195.0,849032,793837,0.93,True,0,0.0015569132842511303,0,714453.3,0.6,667.4051002482349
38,87445.0,Full-time,696.0,84650.0,664642,579992,0.87,True,1,0.8647921694751637,1,521992.8,0.6,270849.17157744913
38,95865.0,Part-time,672.0,65409.0,532154,466745,0.88,True,1,0.43028531135577847,1,420070.5,0.6,108450.09953032652
23,85977.0,Full-time,584.0,47047.0,566099,519052,0.92,True,0,0.0010039061723587075,0,467146.8,0.6,281.3829335505712
26,85811.0,Full-time,636.0,59531.0,563726,504195,0.89,True,0,0.07992804171403373,0,453775.5,0.6,21761.632255683904
35,70960.0,Self-employed,659.0,60270.0,456348,396078,0.87,True,1,0.4679687930861526,1,356470.2,0.6,100090.15755910765
35,71741.0,Full-time,774.0,67089.0,573592,506503,0.88,True,1,0.9466500111892291,1,455852.7,0.6,258919.77813338418
35,56947.0,Full-time,707.0,39497.0,658626,619129,0.94,True,0,0.006541585995813278,0,557216.1,0.6,2187.046221841015
55,119991.0,Contract,613.0,68888.0,498061,429173,0.86,True,0,0.42504040501604,1,386255.7,0.6,98504.56750065243
35,60122.0,Part-time,704.0,19434.0,683878,664444,0.97,True,0,0.0002817574025689602,0,597999.6,0.6,101.0944884199663
38,71141.0,Full-time,602.0,50551.0,639021,588470,0.92,True,0,0.0018608700905808132,0,529623.0,0.6,591.3357599902092
37,70631.0,Full-time,734.0,52675.0,541261,488586,0.9,True,0,0.38714129595976304,1,439727.4,0.6,102141.98130301027
35,102898.0,Full-time,656.0,69499.0,588677,519178,0.88,True,1,0.3481106165427977,1,467260.2,0.6,97594.94178474658
36,109954.0,Full-time,746.0,38916.0,658683,619767,0.94,True,0,0.026039487214561053,0,557790.3,0.6,8714.744031153705
27,71530.0,Full-time,615.0,45225.0,600702,555477,0.92,True,0,0.0023685489555747416,0,499929.3,0.6,710.4642128257269
30,90579.0,Self-employed,610.0,62980.0,580985,518005,0.89,True,0,0.04181840069153386,0,466204.5,0.6,11697.555951117718
29,68293.0,Full-time,650.0,58813.0,606128,547315,0.9,True,0,0.0518376989023344,0,492583.5,0.6,15320.63709435482
32,127902.0,Full-time,731.0,51313.0,559058,507745,0.91,True,0,0.23228392165346404,0,456970.5,0.6,63688.139891966566
45,61248.0,Full-time,604.0,52787.0,431620,378833,0.88,True,0,0.05045279552706696,0,340949.7,0.6,10321.119299468892
20,91196.0,Part-time,538.0,70442.0,763374,692932,0.91,True,0,0.001137762911645379,0,623638.8,0.6,425.7318581418181
36,97675.0,Full-time,657.0,52234.0,612425,560191,0.91,True,0,0.02667467370744098,0,504171.9,0.6,8069.172554976338
22,93275.0,Full-time,707.0,58678.0,631851,573173,0.91,True,0,0.13636931241811168,0,515855.7,0.6,42208.132269578215
29,81294.0,Contract,740.0,92549.0,595367,502818,0.84,True,1,0.9972644590541131,1,452536.2,0.6,270778.96121724235
38,82403.0,Full-time,656.0,38644.0,541190,502546,0.93,True,0,0.003210283711403562,0,452291.4,0.6,871.1902285367478
32,85876.0,Full-time,659.0,32222.0,585126,552904,0.94,True,0,0.0012975768756884136,0,497613.60000000003,0.6,387.4151402328384
25,82059.0,Full-time,737.0,71753.0,472048,400295,0.85,True,1,0.9871648865754974,1,360265.5,0.6,213384.8708667389
27,73850.0,Full-time,689.0,48282.0,517442,469160,0.91,True,0,0.05690900280298014,0,422244.0,0.6,14417.690987724927
33,57603.0,Full-time,702.0,56102.0,564779,508677,0.9,True,0,0.19736896439693563,0,457809.3,0.6,54214.40845937162
32,83234.0,Full-time,654.0,83978.0,703046,619068,0.88,True,1,0.42312562919410407,1,557161.2000000001,0.6,141449.50998752526
28,136594.0,Contract,681.0,72031.0,601160,529129,0.88,True,1,0.5892352533983328,1,476216.10000000003,0.6,168361.9886135195
44,68926.0,Self-employed,555.0,72933.0,501109,428176,0.85,True,0,0.20276970570707592,0,385358.4,0.6,46883.405615849784
35,117782.0,Part-time,647.0,38756.0,700347,661591,0.94,True,0,0.0012320480194678825,0,595431.9,0.6,440.16041587379897
19,118554.0,Contract,702.0,42732.0,658480,615748,0.94,True,0,0.007782908266430171,0,554173.2000000001,0.6,2587.847507588436
33,73928.0,Full-time,630.0,17413.0,643074,625661,0.97,True,0,2.7444769698976207e-05,0,563094.9,0.6,9.272405909500822
28,96379.0,Self-employed,682.0,47859.0,657258,609399,0.93,True,0,0.010119944012391907,0,548459.1,0.6,3330.2252310521126
37,117567.0,Full-time,702.0,74350.0,791548,717198,0.91,True,0,0.19455548695223399,0,645478.2000000001,0.6,75348.7953108309
27,77417.0,Self-employed,662.0,67754.0,774807,707053,0.91,True,0,0.046088741325722986,0,636347.7000000001,0.6,17597.078723111266
31,80928.0,Self-employed,688.0,56677.0,545062,488385,0.9,True,0,0.14981352639002374,0,439546.5,0.6,39510.006706435546
37,64704.0,Self-employed,669.0,49666.0,630653,580987,0.92,True,0,0.01422507077464233,0,522888.3,0.6,4462.873844839447
24,72014.0,Full-time,710.0,63071.0,639927,576856,0.9,True,0,0.2931491975476404,1,519170.4,0.6,91316.63169029249
29,60521.0,Full-time,687.0,71488.0,464618,393130,0.85,True,1,0.9363166010132683,1,353817.0,0.6,198770.8384924269
29,85681.0,Full-time,650.0,35761.0,586369,550608,0.94,True,0,0.001093056745892652,0,495547.2,0.6,324.9967259209291
28,69600.0,Full-time,691.0,64494.0,534974,470480,0.88,True,1,0.546738517195522,1,423432.0,0.6,138903.95028788058
34,53882.0,Part-time,577.0,53773.0,685686,631913,0.92,True,0,0.0008829638274727334,0,568721.7000000001,0.6,301.2964133992798
24,91617.0,Self-employed,737.0,70510.0,434041,363531,0.84,True,1,0.9942511600548694,1,327177.9,0.6,195178.20397158962
44,45125.0,Part-time,701.0,58434.0,689748,631314,0.92,True,0,0.04587694652069212,0,568182.6,0.6,15639.889652512682
38,92481.0,Self-employed,739.0,65899.0,585065,519166,0.89,True,1,0.7323674771222191,1,467249.4,0.6,205318.95855892237
